freqValuesSource,fourierValuesSource,fourierValuesFilter1,fourierValuesFilter2,original
0.0,2.2262054235756804e-05,0.004450117619376978,0.0045627424021371646,2.5177192576791143e-05
1.0,5.61522486984296e-06,1.7451688044028825e-05,2.4874064773353584e-05,1.4217410956925045e-05
2.0,7.186658492688093e-05,7.356830398576635e-05,8.940419571553025e-05,1.2825495079006115e-05
3.0,1.2219600753813725e-05,3.417475893186897e-05,9.579393851789084e-06,1.589956756012077e-05
4.0,0.0001306526206574693,0.0001345167936153429,0.00015257033047278728,2.2656905674951984e-05
5.0,1.4828979227716574e-05,2.010808760380963e-05,4.323758638360395e-05,1.5151477871236057e-05
6.0,0.0001656247636603176,0.00015957351776906535,0.00015746356596615303,9.444154803582567e-06
7.0,2.7101697809317606e-05,2.4949304978633762e-05,3.953046621390729e-05,2.4650779170547503e-05
8.0,0.0001830294206415521,0.00018724168543774301,0.0001724074797589363,2.7114073224172444e-05
9.0,9.615325523327498e-05,9.471492439485332e-05,9.493671486514881e-05,2.6458228100615832e-05
10.0,0.00017930702901030292,0.00017836601626012615,0.0001729163249029025,1.4269968554527911e-05
11.0,9.81072228208018e-05,0.00010117955157548292,9.482677304514167e-05,2.695348501316772e-05
12.0,5.7582081412559696e-05,6.358242664549727e-05,7.005844974208217e-05,0.00012992063912905844
13.0,0.0007199046586423586,0.0007317301639197619,0.0007309809320074819,0.0012285953441250616
14.0,8.959396181714308e-05,9.267973567564444e-05,9.579871362827227e-05,6.64195273371976e-05
15.0,0.00017657235190613382,0.00017774113263758224,0.00017122302088158612,9.152052118296293e-05
16.0,5.463085925100228e-05,6.029443108935315e-05,6.613423383188097e-05,6.822448851365875e-05
17.0,0.0002547570187960749,0.00025275940469861595,0.0002617235317311743,0.00012648357597036018
18.0,0.00015149710689842856,0.00015589125231531113,0.00016734621634907336,0.000114031895596369
19.0,4.55080724965862e-05,4.3802943043673545e-05,3.313816553569405e-05,7.533287161408279e-05
20.0,8.220369174169099e-05,8.73051036667691e-05,0.00010578866229262123,9.13294324930032e-05
21.0,9.96190993662832e-05,0.00010382737293607718,8.94933204766251e-05,0.00010638581199477053
22.0,0.00018926864313725204,0.00019456868828349666,0.00020356980523654312,0.0001754856472233854
23.0,8.982502018199746e-05,0.00010010392065191918,7.656339882159534e-05,0.00016662146542046794
24.0,0.00016063485080201293,0.00016113544978711458,0.00016241908367245757,0.00016065444032967868
25.0,6.39029198160057e-05,5.892412064800141e-05,7.0513816451049e-05,8.232608430415088e-05
26.0,9.91664702534288e-05,9.645481309609244e-05,0.00010166339309886888,8.3352235371677e-05
27.0,9.157051961877889e-05,9.234184989000759e-05,0.00010283310185594301,9.108952568991234e-05
28.0,4.823253575503496e-05,5.246396916718106e-05,4.377208092367492e-05,1.712096484286321e-05
29.0,3.651150225476493e-05,3.378986074335399e-05,4.069143147399251e-05,7.504745327334781e-05
30.0,0.00019583526101165697,0.00019744320895437353,0.0002046783459464724,0.00026870216392811593
31.0,0.00011254633250573317,0.00011043654783464307,0.00010962660743258642,3.594345482269788e-05
32.0,2.9963572031492697e-05,3.269038347621491e-05,3.650553234378492e-05,3.949774873084115e-05
33.0,7.446215203576909e-05,7.541393148545468e-05,7.497829580777672e-05,3.9317840050835605e-05
34.0,4.6682214682592434e-05,4.4684023355072705e-05,4.327038812930029e-05,8.857935063016484e-05
35.0,0.00020157864363023784,0.00020877364623313373,0.0002082307166208191,9.862918607565327e-05
36.0,8.647432293534954e-05,9.036595111125698e-05,8.837920283899398e-05,3.859740641317898e-05
37.0,0.00017378089957918968,0.00017837011642774566,0.00017932099362251094,6.396626468789976e-05
38.0,0.00011631938393465652,0.00012034403540523747,0.00011447744474256986,0.00023329441534286315
39.0,8.783622105459526e-05,9.282906058518158e-05,9.611444858423677e-05,0.00016941643907248755
40.0,0.00018449294474434978,0.00018830454568539225,0.0001876615207958858,0.00026659914211934387
41.0,0.00011662032403747004,0.00012102026633893023,0.00011420345317779003,9.025865129092434e-05
42.0,0.0001469104650034094,0.0001464460001881534,0.00015106411018008388,7.714938140380687e-05
43.0,9.165575355441818e-05,8.598224131702431e-05,8.792226315916108e-05,0.00013813131509080422
44.0,6.636391226457848e-05,6.474551195189273e-05,6.809767567637447e-05,5.31426556339677e-05
45.0,0.00011974780915077562,0.00012415715457982812,0.0001251212362145022,0.00018789702475747224
46.0,0.0001212430094733047,0.00012099359320018395,0.00012199831232897263,2.1241393486041265e-05
47.0,0.0002569226953900612,0.00026022434488844867,0.0002561955426296571,0.00016121376953860035
48.0,7.394186392467239e-05,7.458291331200165e-05,7.57566961426168e-05,0.00014682027411590853
49.0,0.00015525322700621602,0.000159355447036628,0.00015641489234230295,4.7769182646429e-05
50.0,4.6358340131344435e-05,4.676704531502795e-05,4.581675686698417e-05,4.479366714739913e-05
51.0,5.6385011184423074e-05,5.7804586550010714e-05,6.037129798040889e-05,0.0001233902878093303
52.0,7.418615037647645e-05,7.480731615362883e-05,7.39860848912208e-05,9.076650179172877e-05
53.0,7.108385739594605e-05,6.989061341111896e-05,7.01860326124172e-05,6.24781629459008e-05
54.0,8.041086997681515e-05,8.240683981889343e-05,8.438481626537515e-05,1.713930062238115e-05
55.0,4.208931231186448e-05,4.8898904809270346e-05,4.909068941363013e-05,0.00013937447737081667
56.0,9.372367466213465e-05,9.804439516887101e-05,9.73134078907369e-05,0.0002492855213977362
57.0,0.00026263067643287805,0.0002652421138967355,0.0002625921499285421,0.00012596423934793286
58.0,5.628509513692538e-05,5.326716114863059e-05,5.1617403612182905e-05,3.5447318745357685e-05
59.0,0.00020874020459574194,0.00020624859471870822,0.0002058607123816339,0.00013271132589533644
60.0,0.0003828416340295044,0.0003843856224567458,0.00038288686001132917,0.0006135612261590763
61.0,0.0002761878101702464,0.00028669668842299647,0.0002851000476002819,0.00017307754234077786
62.0,0.00010472694885438632,0.0001092490722097793,0.00010676303659825944,8.556203423507657e-05
63.0,0.0001757361951530695,0.00018425282078704663,0.0001849570798535434,0.00014800279128906923
64.0,0.00024882052749164316,0.0002424955124725159,0.00024187990199661113,0.0001452232941420864
65.0,0.0002895653154067187,0.00028448344943068714,0.00028513103804004815,0.00020768148625816777
66.0,0.00013012061409187287,0.00012694102507628053,0.00014314771547532752,0.00010745590270120913
67.0,7.173519375468785e-05,7.290037835653924e-05,7.515530267034772e-05,0.00011715687107547549
68.0,4.284752186483165e-05,4.261276749475085e-05,4.208665281867261e-05,1.973038049718092e-05
69.0,0.00010665082804256646,0.00010383450611728924,0.0001017248126319777,5.319822636490875e-05
70.0,0.00010002272592823835,0.00010754187977174278,0.0001046236410346953,6.968170848737189e-05
71.0,0.00010405770749761812,0.0001058707696145405,0.00010605847785826006,0.00014168608843223026
72.0,8.360673151336397e-05,8.598532863921274e-05,8.537671953617549e-05,6.686848317997755e-05
73.0,0.00012070790718296301,0.0001254046875938203,0.0001218063492991628,0.0001260159729137326
74.0,3.803897352507794e-05,3.4855451685341145e-05,3.3455869519946975e-05,2.01774765127828e-05
75.0,0.0009414962271060032,0.0009489654664893172,0.0009470704036074653,0.0002501284935006806
76.0,1.6851764734124558e-05,1.8589950855850455e-05,2.219057632767896e-05,2.803196456984317e-05
77.0,0.00019120392760823085,0.00019297931762511485,0.00019310461095607941,1.0561836414908436e-05
78.0,0.00013508024337216196,0.00014302472413978032,0.00014188290750322631,7.523014202179964e-05
79.0,3.825971077870835e-05,4.2901079763193136e-05,3.953364627041053e-05,1.6653660032478452e-05
80.0,8.594802880539288e-05,8.310707527045434e-05,8.540888854853719e-05,2.470285261574645e-05
81.0,7.696708423494314e-05,7.526179619561884e-05,7.371394244757418e-05,5.096790071813266e-05
82.0,4.1902299085451785e-05,4.01238664197057e-05,4.328343026109323e-05,3.353697118749185e-05
83.0,7.029255337999287e-05,6.859244017517704e-05,7.087846802504791e-05,4.064843207142178e-05
84.0,2.0703432810551164e-05,2.2454976384158524e-05,2.6037647385095833e-05,3.118936302581979e-05
85.0,3.2292822324493935e-05,3.0698193993556926e-05,3.138969741174452e-05,2.2514581915160177e-05
86.0,7.824127137982525e-05,7.782451056985967e-05,7.267513645200623e-05,8.4287803496139e-05
87.0,7.85271507981685e-05,7.973376392181473e-05,7.853288993989176e-05,1.180735065974629e-05
88.0,9.752043543326753e-05,0.000102437210899507,9.731018513295603e-05,3.979389642450205e-05
89.0,9.076602432269207e-05,9.123134565753094e-05,9.188684291763918e-05,6.979207771391401e-05
90.0,0.00028570695747667563,0.00029277688456488983,0.0002922292331778236,0.0011764053749713697
91.0,0.00014856364227576772,0.00015195037891071347,0.00014713974233028398,0.00011944229466750167
92.0,8.031707746691842e-05,8.168099656861384e-05,7.859684852719154e-05,0.00015030900613201728
93.0,1.2013057045571363e-05,1.3531451257459229e-05,1.6721566416460262e-05,8.166075117079866e-05
94.0,5.659175261986989e-05,5.312300075011961e-05,5.618246681539649e-05,1.9417662002187146e-05
95.0,6.72332514886466e-05,7.183593421331924e-05,7.398378646332497e-05,1.8319055314768864e-05
96.0,8.594182367275429e-05,8.506672104352597e-05,8.624475253210721e-05,8.16779107061466e-05
97.0,7.423289203658523e-05,7.343225130081116e-05,7.239191961226354e-05,0.0001113371365510967
98.0,7.396857087056547e-05,7.551658516737673e-05,7.538170081874826e-05,0.00021698145317708745
99.0,8.088431221221716e-05,7.529354597506998e-05,7.772603584089353e-05,0.00020538733528611855
100.0,0.0001769021146746058,0.00018103524373721288,0.00018030762468816255,0.00013242882406556153
101.0,9.106813174132773e-05,9.354910820313833e-05,9.138708795491092e-05,1.70673770181453e-05
102.0,0.0003632495315560812,0.0003654977349274615,0.00036434622145475415,0.00017948132888918664
103.0,7.272200108337829e-05,6.941176091151322e-05,6.795745706603301e-05,0.00023753393320171366
104.0,0.00021578576813016754,0.00020316724858547084,0.0002047060729126959,3.006945950287447e-05
105.0,5.3975399199730324e-05,5.582993539132833e-05,5.660651676087914e-05,8.876154960502355e-05
106.0,0.0001736367067814716,0.00017173318633137237,0.0001694720418069027,4.2402959695634246e-05
107.0,2.3902274278558344e-05,2.1665916744708107e-05,2.1276662346923182e-05,0.0002304109558111528
108.0,8.341274931274681e-05,8.852721546527914e-05,8.908636384362708e-05,0.00010419011522544783
109.0,0.00010966927393688453,0.00011463025641117465,0.00011406619514868188,0.00011214469777644545
110.0,0.00013888789233960168,0.00013624066325244183,0.00013708207803086363,0.00017727503341217124
111.0,0.0001288698608644736,0.0001269602836275286,0.00012626503895612204,6.345654193298479e-05
112.0,0.00017006170654617416,0.00016877363176831149,0.00016929491802014692,2.0496941509043778e-05
113.0,5.547378507318365e-05,5.611498250303481e-05,5.591519813028113e-05,9.93608512281612e-05
114.0,0.00012221519676918654,0.00011831365181756333,0.0001173755667376682,0.00017885622340483383
115.0,0.00019296089141982017,0.00019343593266489518,0.0001927043790572755,0.00016058408389979577
116.0,0.00010780440903816574,0.00010955488240710111,0.0001091535011676733,8.202075849977772e-05
117.0,9.051995138390408e-05,9.089220035137772e-05,8.938541530073607e-05,0.0001220002937708442
118.0,1.8665607751880128e-05,2.0246404289719076e-05,2.0852191563393315e-05,0.0001290306102082727
119.0,5.675591051913707e-05,5.770899774686251e-05,5.654394147441001e-05,3.0029986166142034e-05
120.0,0.00010359281075800463,0.00011010343627142845,0.00010930369214535266,0.00034474931291894807
121.0,9.97119021417719e-05,0.00010292009389739776,0.00010176780827121828,8.298313733751297e-05
122.0,0.00022689802670385656,0.00022916217726249896,0.00022808538932957208,0.00012938269223906828
123.0,0.00018931601858378095,0.00019631524986305288,0.00019533223135381265,6.19487357033937e-05
124.0,0.000152828028988692,0.00015572267371979535,0.000155730822342243,9.021432178723302e-05
125.0,0.0002726244686131986,0.00027027045316730124,0.00026783120083431836,0.0002027277037324477
126.0,0.00011882152014467875,0.000120095962337073,0.00011991169975080625,0.00014698976426354705
